F-JW1-SAT,F-JW2-SAT,F-JW3-SAT,Euclidean Barycenter
215.466,362.889,358.689,312.348
219.924,343.098,366.534,309.85200000000003
219.379,363.977,402.498,328.618
216.358,351.859,381.737,316.6513333333333
209.969,336.741,363.024,303.24466666666666
203.234,320.867,374.261,299.454
208.82,316.319,383.736,302.9583333333333
207.852,342.301,290.278,280.14366666666666
202.528,301.807,295.75,266.695
193.886,274.007,299.157,255.6833333333333
193.839,289.81,293.209,258.95266666666663
185.369,272.949,285.243,247.85366666666664
195.358,276.766,286.983,253.03566666666666
183.359,284.517,288.721,252.19899999999998
191.251,297.586,273.407,254.0813333333333
184.467,271.261,289.544,248.424
195.043,278.657,267.951,247.217
194.186,260.858,287.087,247.37699999999998
181.131,274.117,240.148,231.7986666666667
184.662,256.241,284.396,241.76633333333334
191.099,260.712,256.728,236.17966666666666
191.851,268.813,256.659,239.10766666666666
185.777,242.369,272.989,233.71166666666667
200.667,286.937,252.939,246.84766666666667
200.758,268.229,259.332,242.773
188.563,289.894,253.418,243.95833333333334
166.883,188.996,218.954,191.61100000000002
153.831,196.646,154.293,168.25666666666666
156.332,199.917,131.973,162.74066666666667
132.827,167.403,163.327,154.519
140.922,196.949,156.41,164.7603333333333
166.253,260.397,217.656,214.7686666666667
222.394,328.822,274.75,275.322
243.809,352.608,346.598,314.33833333333337
239.278,433.893,372.918,348.6963333333333
215.236,397.212,390.38,334.276
240.488,421.969,429.272,363.9096666666667
233.828,404.616,428.124,355.5226666666667
261.958,403.21,451.864,372.344
275.65,414.379,459.141,383.0566666666667
293.694,444.686,476.986,405.122
325.912,454.507,528.681,436.3666666666666
377.893,494.402,574.224,482.173
370.514,524.223,565.899,486.8786666666667
409.654,482.021,598.317,496.664
437.964,503.823,592.974,511.587
429.409,492.631,611.98,511.34
414.049,503.481,586.074,501.20133333333325
424.717,495.096,589.584,503.1323333333333
436.949,496.746,588.141,507.2786666666666
414.097,489.39,590.648,498.045
425.967,484.409,607.786,506.0539999999999
410.217,520.958,605.377,512.184
386.607,491.276,593.354,490.4123333333334
353.606,489.099,599.623,480.776
341.6,497.894,593.837,477.77700000000004
372.288,476.12,585.278,477.8953333333334
465.359,467.654,569.868,500.96033333333327
469.818,460.283,562.101,497.40066666666667
478.62,448.548,539.737,488.9683333333333
458.006,436.8,550.324,481.71000000000004
455.793,437.607,557.77,483.72333333333336
451.096,444.707,521.922,472.575
447.714,446.462,535.398,476.5246666666667
460.668,420.176,497.529,459.4576666666667
362.324,409.888,471.699,414.637
386.45,403.82,448.24,412.83666666666664
418.527,387.33,464.962,423.60633333333334
409.793,372.756,482.031,421.52666666666664
397.052,362.893,485.138,415.0276666666666
380.8,358.136,457.499,398.81166666666667
357.659,318.141,466.354,380.718
361.88,305.893,458.516,375.42966666666666
370.123,338.401,452.418,386.98066666666665
381.778,375.266,468.213,408.41900000000004
360.724,417.378,514.58,430.894
469.196,433.108,515.526,472.60999999999996
464.402,432.75,495.332,464.1613333333333
477.848,389.5,506.502,457.95
473.014,427.148,510.561,470.241
453.978,398.447,488.324,446.91633333333334
457.288,405.613,433.61,432.1703333333333
456.976,387.694,422.589,422.41966666666667
377.454,392.053,434.344,401.2836666666667
294.927,385.149,463.109,381.06166666666667
282.308,401.997,458.766,381.0236666666667
305.206,388.529,456.581,383.4386666666667
296.706,396.144,424.589,372.4796666666667
313.424,349.312,445.213,369.3163333333334
291.176,332.867,466.258,363.4336666666666
288.811,345.026,387.978,340.605
293.931,353.132,379.374,342.1456666666666
301.433,364.569,388.163,351.3883333333333
338.649,366.623,381.604,362.292
301.978,366.428,369.096,345.834
292.118,306.083,362.448,320.21633333333335
