F-JW1-THU,F-JW2-THU,F-JW3-THU,F-JW4-THU,Euclidean Barycenter
124.527,294.87,380.976,435.568,308.98525
100.392,276.476,384.403,364.344,281.40375
114.68,295.806,382.793,355.151,287.1075
114.067,286.181,361.019,354.926,279.04825
116.316,322.6,361.356,363.698,290.9925
91.824,277.667,323.61,354.656,261.93925
99.951,313.073,324.57,351.043,272.15925000000004
103.358,309.761,309.428,353.212,268.93975
100.71,326.138,296.956,331.167,263.74275
75.137,279.871,288.006,327.402,242.60399999999998
100.496,310.401,288.808,315.188,253.72324999999998
68.513,262.559,285.553,323.27,234.97375
66.023,275.868,301.778,314.42,239.52224999999999
91.198,283.873,276.653,335.093,246.70425
50.071,285.897,283.06,334.044,238.268
60.612,279.612,302.968,342.018,246.3025
77.126,290.443,280.028,360.53,252.03175
55.592,284.29,272.38,326.562,234.706
69.616,287.67,287.703,360.446,251.35875000000001
65.319,295.504,273.647,331.961,241.60775
84.937,290.512,268.226,318.838,240.62824999999998
25.317,252.261,248.387,290.268,204.05825
37.927,232.161,237.657,296.496,201.06025
57.328,218.468,238.826,320.13,208.688
39.929,260.174,249.576,306.413,214.023
31.459,236.249,325.182,268.336,215.3065
24.358,233.153,287.751,251.504,199.1915
39.336,218.401,251.334,236.448,186.37975
-14.121,215.49,215.323,268.35,171.2605
21.622,220.003,213.813,264.597,180.00875
12.744,225.208,251.978,322.232,203.0405
51.354,337.941,302.42,430.548,280.56575
41.81,391.298,327.513,467.788,307.10225
69.923,426.592,412.287,492.922,350.431
93.309,441.236,457.081,,
128.529,461.944,515.97,,
208.124,468.011,520.228,,
229.046,486.313,527.566,,
225.068,496.53,566.718,,
228.42,533.968,538.25,,
238.742,552.84,556.469,,
219.318,568.426,569.63,,
215.294,572.88,618.243,,
219.552,536.451,647.897,,
233.504,602.737,622.707,,
233.746,617.04,656.373,,
242.794,599.543,655.207,,
244.356,663.356,626.713,,
226.561,626.776,625.797,,
221.293,646.077,629.544,,
231.584,666.686,617.342,,
228.018,635.076,621.232,,
215.329,633.647,645.416,,
207.94,622.471,636.809,,
204.57,647.442,623.372,,
214.364,688.359,637.463,,
217.89,679.049,622.221,,
230.836,670.474,625.049,,
233.526,651.799,655.509,,
232.02,660.451,618.371,,
240.21,624.823,643.026,,
233.958,678.896,634.427,,
223.76,668.079,637.679,,
219.731,613.744,638.031,,
207.87,636.016,593.134,,
201.456,604.323,588.889,,
200.758,567.002,542.743,,
200.948,563.47,449.13,,
216.858,517.688,442.153,,
219.814,440.604,440.447,,
226.713,411.849,428.827,,
200.65,369.956,376.869,,
171.244,389.909,372.161,,
182.408,399.31,381.19,,
201.543,385.612,406.187,,
206.378,479.401,462.472,,
172.101,481.011,472.824,,
186.342,465.268,450.169,,
182.173,479.317,457.371,,
196.958,466.069,505.809,,
161.933,495.783,516.366,,
160.777,486.979,487.42,,
157.589,466.129,459.052,,
163.181,455.236,427.109,,
158.519,424.701,415.634,,
138.883,403.918,443.07,,
176.667,445.481,437.7,,
184.598,415.849,442.133,,
167.827,457.042,449.69,,
197.576,426.137,412.888,,
164.373,445.068,436.801,,
198.623,449.873,370.138,,
197.764,444.363,402.329,,
190.7,409.221,394.316,,
188.691,418.04,415.39,,
165.24,394.052,309.569,,
