P-JW1-MON,P-JW2-MON,P-JW3-MON,P-JW4-MON,Euclidean Barycenter
13575.423,12882.394,12732.352,13160.015,13087.546
13191.545,12714.635,12577.43,12933.261,12854.21775
13064.414,12476.851,12417.855,12733.229,12673.087249999999
12836.59,12314.395,12304.554,12434.646,12472.546250000001
12532.873,12120.047,12158.334,12285.742,12274.249
12461.139,11947.317,12065.458,12036.637,12127.63775
12377.822,11757.622,11889.402,11884.633,11977.36975
12078.932,11684.349,11777.109,11708.819,11812.30225
12107.332,11551.421,11616.725,11618.197,11723.41875
11959.314,11416.41,11619.453,11487.956,11620.78325
11877.663,11330.569,11529.319,11308.642,11511.54825
11744.331,11239.211,11469.137,11311.128,11440.95175
11812.143,11092.937,11295.175,11307.872,11377.031750000002
11573.076,11162.15,11241.971,11164.379,11285.394
11531.029,10985.954,11273.836,11199.35,11247.54225
11473.717,11047.404,11239.767,11100.07,11215.2395
11413.111,11082.277,11215.912,10999.759,11177.76475
11462.314,11147.405,11402.793,10970.734,11245.8115
11535.067,11210.789,11384.152,11246.597,11344.15125
11901.801,11290.167,11522.078,11423.074,11534.28
12256.323,11796.197,11649.937,11631.436,11833.473250000001
12577.556,12016.381,12161.202,11952.618,12176.93925
12935.512,12287.713,12426.664,12206.667,12464.139
13236.564,12712.377,12661.457,12521.051,12782.86225
13429.727,13054.072,13094.809,12902.679,13120.32175
13608.007,13165.668,13173.443,13192.305,13284.85575
13478.087,13015.857,13034.88,12716.451,13061.31875
13385.061,12827.186,12824.842,12730.227,12941.829
13298.447,12619.917,12844.633,12602.602,12841.39975
13316.277,12709.458,12717.278,12437.58,12795.14825
13103.147,12652.539,12643.311,12360.169,12689.791500000001
13200.38,12648.114,12813.934,12358.041,12755.11725
13264.099,12377.15,12639.732,12293.905,12643.7215
13388.989,12719.532,12702.139,12505.164,12828.956000000002
13577.613,12944.077,12749.505,12932.384,13050.89475
13705.708,13116.634,12841.242,13111.037,13193.65525
13864.339,13435.462,12859.865,13345.449,13376.27875
14078.979,13565.044,13096.632,13489.896,13557.63775
14205.926,13889.472,13520.858,13622.263,13809.62975
14199.749,13964.45,13826.625,13748.502,13934.8315
14220.318,14043.653,13864.128,13885.479,14003.3945
14238.8,14091.454,13967.12,14083.401,14095.19375
14357.618,14275.171,14059.841,14211.991,14226.155250000002
14503.518,14144.678,13966.248,14236.487,14212.732750000001
14672.052,14220.984,14416.869,14431.786,14435.42275
14626.338,14251.071,14543.969,14443.572,14466.2375
14728.119,14149.115,14418.335,14377.598,14418.29175
14838.276,14624.047,14746.656,14646.546,14713.88125
15035.876,14597.542,14643.618,14687.366,14741.1005
15090.741,14763.895,14803.183,14730.915,14847.183500000001
14774.916,14797.848,14896.175,14866.823,14833.9405
14753.0,14847.794,14918.47,14967.509,14871.69325
15167.074,14955.239,14906.883,15051.324,15020.130000000001
14948.23,14821.878,15072.801,15154.443,14999.338
15281.668,14806.761,15216.131,15173.291,15119.462749999999
15341.342,14837.042,15255.641,15054.684,15122.177249999999
15185.104,14835.627,15102.65,15234.513,15089.4735
14918.995,14758.424,15228.36,15142.884,15012.16575
14879.241,14657.937,15288.792,15269.127,15023.77425
14937.277,14675.974,15194.716,15098.293,14976.565
14788.248,14649.043,15113.452,15017.999,14892.1855
14862.032,14525.398,15236.736,15051.294,14918.865
14692.458,14491.008,15164.246,15015.596,14840.827
14848.513,14436.086,15294.502,15011.818,14897.72975
14879.421,14435.93,15134.31,15115.206,14891.21675
15050.461,14397.156,14835.189,15127.024,14852.457499999999
14653.798,14073.693,14576.472,14759.535,14515.874500000002
14409.46,13932.315,14380.636,14637.894,14340.07625
14380.9,13764.785,14179.157,14422.829,14186.917749999999
14364.987,13779.032,13937.768,14275.969,14089.438999999998
14459.701,13796.383,14119.009,14204.072,14144.79125
14594.333,14155.061,14145.578,14339.744,14308.679
15137.035,14728.852,14500.014,14585.597,14737.8745
16215.02,15849.585,15319.026,15513.408,15724.259750000001
16835.727,16275.189,16337.006,16493.566,16485.372
16933.093,16725.613,16716.416,16754.568,16782.4225
17056.549,16818.072,16849.4,16800.47,16881.122750000002
17168.626,16975.005,16995.276,17134.403,17068.3275
17336.589,17065.126,17001.464,16929.465,17083.161
17286.239,16947.681,16789.028,17071.998,17023.7365
17258.697,16773.041,16894.78,16916.853,16960.84275
17056.704,16836.581,16906.77,17014.943,16953.7495
17066.041,16853.163,16721.038,16868.646,16877.222
16702.279,16535.123,16563.786,16660.758,16615.4865
16580.678,16313.719,16339.053,16377.915,16402.841249999998
16503.851,16057.061,15559.085,16266.755,16096.687999999998
16227.872,15696.306,15406.708,15646.563,15744.36225
15853.865,15471.25,15322.225,15256.802,15476.035499999998
15597.489,14979.375,14847.102,15041.55,15116.379
15015.755,14837.661,14591.528,14770.774,14803.929499999998
14755.945,14319.0,14224.758,14392.45,14423.038250000001
14370.266,14132.793,13704.106,14201.499,14102.166000000001
14272.394,13641.333,13432.422,13870.278,13804.106749999999
13828.362,13377.642,13227.602,13597.086,13507.672999999999
13695.979,13192.98,12866.073,13281.685,13259.17925
13423.731,12878.123,12686.534,12952.591,12985.24475
