modified_index,Q-JW1-THU,Q-JW2-THU,Q-JW3-THU,Q-JW4-THU,Euclidean Barycenter
00:00:00,358.349,310.246,295.546,307.063,317.80100000000004
00:15:00,382.652,289.811,295.879,308.046,319.097
00:30:00,337.533,303.882,273.066,268.849,295.8325
00:45:00,369.346,268.466,264.727,288.056,297.64875
01:00:00,337.277,282.676,281.481,269.592,292.75649999999996
01:15:00,338.543,268.812,259.4,268.696,283.86275
01:30:00,362.459,260.098,296.923,275.641,298.78025
01:45:00,345.997,282.478,277.509,261.774,291.9395
02:00:00,343.786,264.103,293.792,260.123,290.451
02:15:00,344.247,264.927,270.673,261.771,285.4045
02:30:00,322.284,252.52,272.279,236.151,270.8085
02:45:00,345.664,214.39,290.221,223.472,268.43675
03:00:00,322.191,234.417,251.132,239.96,261.925
03:15:00,316.718,232.27,278.756,252.337,270.02025000000003
03:30:00,348.408,202.656,264.156,248.086,265.8265
03:45:00,302.777,233.519,260.702,261.661,264.66475
04:00:00,314.197,225.864,262.872,223.626,256.63975
04:15:00,313.779,210.461,254.924,268.261,261.85625
04:30:00,346.88,222.249,277.09,232.363,269.6455
04:45:00,311.754,219.733,225.363,253.343,252.54825000000002
05:00:00,312.449,269.869,244.189,222.168,262.16875
05:15:00,315.248,218.059,247.707,250.977,257.99775
05:30:00,265.929,225.874,238.461,217.444,236.927
05:45:00,276.533,219.847,249.69,261.661,251.93275
06:00:00,311.021,216.952,254.146,253.481,258.9
06:15:00,301.122,220.343,275.723,221.872,254.76500000000004
06:30:00,258.803,186.472,232.902,207.416,221.39824999999996
06:45:00,245.286,187.591,211.527,186.779,207.79575
07:00:00,250.452,164.696,209.063,209.97,208.54525
07:15:00,296.976,236.206,231.614,215.832,245.157
07:30:00,301.719,247.591,236.404,304.39,272.52599999999995
07:45:00,344.517,284.197,294.236,341.824,316.1935
08:00:00,390.203,423.16,342.466,373.212,382.26025000000004
08:15:00,408.823,438.2,430.012,391.514,417.13725
08:30:00,487.919,479.998,431.744,502.288,475.48725
08:45:00,494.284,512.593,453.319,566.82,506.754
09:00:00,511.421,553.689,494.666,569.613,532.34725
09:15:00,516.632,608.962,519.644,607.369,563.15175
09:30:00,507.226,575.078,514.497,598.257,548.7645
09:45:00,498.252,588.601,478.636,565.521,532.7525
10:00:00,543.744,606.999,513.831,550.614,553.797
10:15:00,530.882,583.164,527.73,550.519,548.07375
10:30:00,557.771,613.917,538.833,603.514,578.5087500000001
10:45:00,559.503,586.233,494.922,631.011,567.91725
11:00:00,563.376,572.146,496.73,646.243,569.62375
11:15:00,534.972,611.332,511.003,635.419,573.1815
11:30:00,553.352,604.113,548.689,625.147,582.82525
11:45:00,558.734,600.528,557.52,656.667,593.36225
12:00:00,559.108,603.59,544.011,645.968,588.1692499999999
12:15:00,569.681,600.999,545.98,645.289,590.48725
12:30:00,563.806,582.11,568.743,626.063,585.1805
12:45:00,563.103,590.361,534.761,611.174,574.84975
13:00:00,563.881,577.761,551.981,609.264,575.7217499999999
13:15:00,563.509,564.05,565.752,622.507,578.9544999999999
13:30:00,561.75,557.812,568.431,634.936,580.73225
13:45:00,545.53,568.708,600.56,633.837,587.1587499999999
14:00:00,545.479,546.787,608.294,630.061,582.65525
14:15:00,552.486,527.361,627.181,630.287,584.32875
14:30:00,534.411,545.782,608.114,647.304,583.90275
14:45:00,555.993,569.433,602.767,645.326,593.3797500000001
15:00:00,534.162,582.779,599.981,639.888,589.2025
15:15:00,533.242,610.976,589.563,666.202,599.99575
15:30:00,553.59,598.813,607.561,702.733,615.67425
15:45:00,541.281,613.814,636.8,692.302,621.0492499999999
16:00:00,532.313,586.05,624.553,693.996,609.228
16:15:00,530.132,565.648,618.644,586.119,575.13575
16:30:00,538.681,557.4,585.321,516.569,549.49275
16:45:00,497.532,441.006,547.293,477.512,490.83575
17:00:00,455.857,402.621,492.4,462.499,453.34425000000005
17:15:00,453.706,414.433,467.648,419.97,438.93925
17:30:00,442.278,414.47,479.139,417.75,438.40925000000004
17:45:00,381.442,375.7,379.783,415.276,388.05025000000006
18:00:00,398.929,346.869,357.847,411.672,378.82925
18:15:00,426.871,402.571,384.81,422.801,409.26324999999997
18:30:00,448.699,421.606,417.636,444.83,433.19275
18:45:00,424.483,410.374,411.674,433.343,419.9685
19:00:00,419.533,378.224,398.749,439.728,409.05850000000004
19:15:00,409.01,401.398,396.982,435.834,410.80600000000004
19:30:00,398.782,389.719,382.102,432.18,400.69575000000003
19:45:00,404.203,391.214,372.589,445.174,403.29499999999996
20:00:00,405.596,412.58,337.79,428.73,396.174
20:15:00,387.348,408.376,358.718,432.39,396.70799999999997
20:30:00,408.284,414.159,372.91,464.43,414.94575000000003
20:45:00,403.326,398.31,382.243,469.896,413.44374999999997
21:00:00,378.103,411.448,399.318,470.279,414.787
21:15:00,395.612,402.246,355.294,478.632,407.946
21:30:00,409.088,419.651,385.574,458.573,418.2215
21:45:00,402.899,422.034,384.927,450.019,414.96975000000003
22:00:00,398.447,313.02,365.892,338.602,353.99024999999995
22:15:00,395.683,289.572,388.848,317.451,347.8885
22:30:00,405.431,261.641,359.866,335.063,340.50025000000005
22:45:00,381.062,299.49,351.282,349.624,345.3645
23:00:00,392.594,258.473,360.747,317.454,332.317
23:15:00,372.056,295.374,386.188,314.269,341.97175
23:30:00,387.984,279.013,397.47,338.794,350.81525
23:45:00,427.559,308.571,402.741,308.102,361.74325
